HOME_TEAM,DATE,AWAY_TEAM
Arsenal,14/12/2019,Manchester City
Burnley,14/12/2019,Newcastle United
Chelsea,14/12/2019,AFC Bournemouth
Crystal Palace,14/12/2019,Brighton and Hove Albion
Leicester City,14/12/2019,Norwich City
Liverpool,14/12/2019,Watford
Manchester United,14/12/2019,Everton
Sheffield United,14/12/2019,Aston Villa
Southampton,14/12/2019,West Ham United
Wolverhampton Wanderers,14/12/2019,Tottenham Hotspur
Aston Villa,21/12/2019,Southampton
AFC Bournemouth,21/12/2019,Burnley
Brighton and Hove Albion,21/12/2019,Sheffield United
Everton,21/12/2019,Arsenal
Manchester City,21/12/2019,Leicester City
Newcastle United,21/12/2019,Crystal Palace
Norwich City,21/12/2019,Wolverhampton Wanderers
Tottenham Hotspur,21/12/2019,Chelsea
Watford,21/12/2019,Manchester United
West Ham United,21/12/2019,Liverpool
Aston Villa,26/12/2019,Norwich City
AFC Bournemouth,26/12/2019,Arsenal
Chelsea,26/12/2019,Southampton
Crystal Palace,26/12/2019,West Ham United
Everton,26/12/2019,Burnley
Leicester City,26/12/2019,Liverpool
Manchester United,26/12/2019,Newcastle United
Sheffield United,26/12/2019,Watford
Tottenham Hotspur,26/12/2019,Brighton and Hove Albion
Wolverhampton Wanderers,26/12/2019,Manchester City
Arsenal,28/12/2019,Chelsea
Brighton and Hove Albion,28/12/2019,AFC Bournemouth
Burnley,28/12/2019,Manchester United
Liverpool,28/12/2019,Wolverhampton Wanderers
Manchester City,28/12/2019,Sheffield United
Newcastle United,28/12/2019,Everton
Norwich City,28/12/2019,Tottenham Hotspur
Southampton,28/12/2019,Crystal Palace
Watford,28/12/2019,Aston Villa
West Ham United,28/12/2019,Leicester City
Arsenal,01/01/2020,Manchester United
Brighton and Hove Albion,01/01/2020,Chelsea
Burnley,01/01/2020,Aston Villa
Liverpool,01/01/2020,Sheffield United
Manchester City,01/01/2020,Everton
Newcastle United,01/01/2020,Leicester City
Norwich City,01/01/2020,Crystal Palace
Southampton,01/01/2020,Tottenham Hotspur
Watford,01/01/2020,Wolverhampton Wanderers
West Ham United,01/01/2020,AFC Bournemouth
Aston Villa,11/01/2020,Manchester City
AFC Bournemouth,11/01/2020,Watford
Chelsea,11/01/2020,Burnley
Crystal Palace,11/01/2020,Arsenal
Everton,11/01/2020,Brighton and Hove Albion
Leicester City,11/01/2020,Southampton
Manchester United,11/01/2020,Norwich City
Sheffield United,11/01/2020,West Ham United
Tottenham Hotspur,11/01/2020,Liverpool
Wolverhampton Wanderers,11/01/2020,Newcastle United
Arsenal,18/01/2020,Sheffield United
Brighton and Hove Albion,18/01/2020,Aston Villa
Burnley,18/01/2020,Leicester City
Liverpool,18/01/2020,Manchester United
Manchester City,18/01/2020,Crystal Palace
Newcastle United,18/01/2020,Chelsea
Norwich City,18/01/2020,AFC Bournemouth
Southampton,18/01/2020,Wolverhampton Wanderers
Watford,18/01/2020,Tottenham Hotspur
West Ham United,18/01/2020,Everton
